PuzzleId,FEN,Moves,Rating,Themes
00sHx,r4rk1/pp3ppp/2n1bn2/2pp4/5B2/2NP1N1P/PPP2PP1/R3R1K1 w - - 4 11,f3d2 c6b4 d2c4 b4d3,1370,fork middlegame short
00zHa,r1bq1rk1/pppp1ppp/2n2n2/1B2p3/1b2P3/2N2N2/PPPP1PPP/R1BQ1RK1 w - - 6 5,c3d5 f6d5 e4d5 d8d5,1128,advantage capture middlegame short
01A3q,2r3k1/pp1q1ppp/2nBpn2/8/2P5/1P3N2/P4PPP/R2Q1RK1 b - - 0 15,f6d5 d6e7 d5e7 d1d7,1052,advantage capture middlegame short
01Mgi,r2q1rk1/1p1bbppp/p1n1pn2/3p4/3P1B2/2NBPN2/PPQ2PPP/R3K2R w KQ - 2 10,f3e5 c6e5 d4e5 f6e4,1330,advantage capture middlegame short
01YCS,r1b1kb1r/ppqn1ppp/2p1pn2/3p2B1/3P4/2NBPN2/PPQ2PPP/R3K2R b KQkq - 5 7,f6h5 g5d8 d7b6 d8b6,1472,advantage middlegame short
01fhJ,2r3k1/1p3pp1/p1b1pn1p/2PpN3/1P6/P3PP2/5KPP/2R1B3 b - - 0 24,c6a4 e5d3 a4d1 c1d1,1556,advantage endgame short
02Jlz,r1bqkb1r/pppp1ppp/2n2n2/4p2Q/2B1P3/8/PPPP1PPP/RNB1K1NR w KQkq - 4 4,h5f7 e8f7 b1c3 d7d5,1002,advantage capture opening short
03YZr,r1bqk2r/ppp2ppp/2n2n2/2bpp3/4P3/2PP1N2/PP3PPP/RNBQKB1R w KQkq - 0 5,d3d4 c5b4 c1d2 b4d2,1172,advantage opening short
04KOa,r1bqkbnr/pppp2pp/2n2p2/4p3/2B1P3/5N2/PPPP1PPP/RNBQK2R w KQkq - 0 4,d2d4 e5d4 c4f7 e8f7,1398,advantage capture opening sacrifice short
04NhJ,1r4k1/p4ppp/1qr1pn2/2p1N3/2P5/1PQ3P1/P4PBP/2RR2K1 b - - 1 20,b6b4 c3c2 b4f8 e5d7,1704,advantage fork middlegame short
05Dmu,r1bq1rk1/pppn1ppp/3bpn2/3p4/2PP4/2NBPN2/PP3PPP/R1BQ1RK1 w - - 2 8,c4d5 e6d5 d3h7 g8h7,1562,advantage attack middlegame sacrifice short
05XtF,r1bqkbnr/1ppp1p1p/p1n3p1/4p3/2B1P3/5N2/PPPP1PPP/RNBQK2R w KQkq - 0 4,d2d4 e5d4 f3d4 c6d4,1060,advantage capture opening short
06ZkW,r1bqkbnr/pppppppp/2n5/8/4P3/2N5/PPPP1PPP/R1BQKBNR b KQkq - 2 2,e7e5 f1c4 f8c5 d1h5,1036,advantage opening short
07CyD,r2qkbnr/pppb1ppp/2n5/1B1pp3/4P3/5N2/PPPP1PPP/RNBQK2R w KQkq - 2 4,b5c6 d7c6 f3e5 d8d4,1338,advantage opening short
07cuE,r1bq1rk1/pp1pppbp/2n2np1/2p5/2P1P3/2N2N2/PP1PBPPP/R1BQ1RK1 w - - 2 7,d2d4 c5d4 f3d4 c6d4,1098,advantage capture opening short
08XXn,r2qk2r/ppp2ppp/2nbbn2/3pp3/4P3/1BPP1N2/PP3PPP/RNBQK2R w KQkq - 4 6,e4d5 f6d5 d3d4 e5d4,1192,advantage capture opening short
09dDl,rn1qk2r/ppp2ppp/4bn2/3pp3/1bPP4/2N2N2/PP2PPPP/R1BQKB1R w KQkq - 2 5,c4d5 e6d5 a2a3 b4c3,1220,advantage opening short
0AhiZ,r1bqkbnr/1p1ppppp/p1n5/2p5/4P3/2P2N2/PP1P1PPP/RNBQKB1R w KQkq - 0 4,d2d4 c5d4 c3d4 c6d4,1046,advantage capture opening short
0Bj90,2r2rk1/pp1bqppp/2n1p3/3pP3/3P1P2/3B1N2/PP4PP/R2Q1RK1 b - - 0 14,d7g4 d3h7 g8h7 d1d3,1628,advantage attack middlegame sacrifice short
0CRUm,2r3k1/1q3ppp/p2ppn2/1p6/3QP1b1/1BN3P1/PPP2P1P/R1B1R1K1 b - - 0 16,g4f3 d4d2 b7g2 d2g2,1750,advantage middlegame short
0DL8o,r1bq1rk1/pppp1ppp/2n2n2/2b1p3/2B1P3/2NP1N2/PPP2PPP/R1BQ1RK1 b - - 5 5,d7d6 c4f7 f8f7 f3g5,1426,advantage attack middlegame sacrifice short
0EXxG,r3k2r/ppp1qppp/2n2n2/3pp1B1/1b2P3/2NP4/PPP1QPPP/R3KBNR w KQkq - 5 7,g5f6 e5e4 d3e4 d5e4,1322,advantage middlegame short
